Year,Month,DayPeriod,Type,Operator,Location,LocationType,Continent,Country,WaterBodyType,WaterBodyName,FederalSubject,CauseCategory,WeatherCondition,Survivors,FlightPhase,Aboard,Ground,Fatalities,SurvivalSeverity,latitude,longitude,geocoded_info
1956,Jul,Morning,Douglas DC-3,Aerolineas Argentinas,"Rio Cuarto, Argentina",Land,South America,Argentina,Unknown,Unknown,Unknown,Weather,Unknown,No,Landing,18,0,18,None Survived,-33.1237585,-64.3489782,
1956,Aug,Unknown,Douglas DC-3,Union of Burma Airways,"Thazi, Burma",Land,Unknown,Unknown,Unknown,Unknown,Burma,Unknown,Unknown,No,En Route,20,0,12,Partial Survived,20.8545062,96.0494815,
1956,Aug,Evening,Douglas DC-6B,Canadian PacifiAir Lines,"Cold Bay, Alaska",Watery,North America,United States,Gulf,"Cold Bay,",Alaska,Unknown,Unknown,No,Landing,22,0,15,Partial Survived,55.2071632,-162.7146533,
1956,Sep,Unknown,Curtiss C-46A-45-CU,Jordan International Airlines,"Amman, Jordan",Land,Asia,Jordan,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,57,0,1,Partial Survived,31.9515694,35.9239625,
1956,Sep,Unknown,Douglas DC-3 / Cessna 170B,Continental Airlines,"Bartlesville, Oklahoma",Land,North America,United States,Unknown,Unknown,Oklahoma,External,Unknown,No,Unknown,18,0,0,All Survived,36.7509272,-95.9771779,
1956,Oct,Evening,Stinson AT-19,Alaska Airlines," Nome, Alaska",Land,North America,United States,Unknown,Unknown,Alaska,Weather,Unknown,No,En Route,5,0,5,None Survived,64.4975098,-165.4061701,
1956,Oct,Night,Douglas C188-B,Military - U.S. Navy," Land's End, England",Land,Europe,England,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,59,0,59,None Survived,50.0662633,-5.7148222,
1956,Oct,Morning,Boeing  377 Stratocruiser,Pan American World Airways, the Pacific Ocean,Watery,Unknown,Unknown,Ocean,The Pacific Ocean,Unknown,Mechanical,Rain,No,Unknown,31,0,0,All Survived,33.7657368,-118.1820791,
1956,Oct,Unknown,Douglas DC-3,Indian Airlines,"Agartala, India",Land,Asia,India,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,3,0,3,None Survived,23.8312377,91.2823821,
1956,Oct,Night,Curtiss C-46,Military - Egyptian Air Force, the Mediterranean Sea,Watery,Europe,Unknown,Sea,Mediterranean Sea,Unknown,Unknown,Unknown,No,En Route,23,0,23,None Survived,31.27717,16.020182,
1956,Nov,Night,Handley Page HP-1 Hermes,Britavia,"Blackbushe, England",Land,Europe,England,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,80,0,5,Partial Survived,51.8771584,0.1781076,
1956,Nov,Morning,de Havilland DH-114 Heron 2B,Braathens,"Hommelfjell, Norway",Land,Europe,Norway,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,12,0,2,Partial Survived,61.1529386,8.7876653,Matched: Norway
1956,Nov,Afternoon,Douglas C-54A-10-DC,Aerovias Guest,"Puerto Somoza, Nicaragua",Land,North America,Nicaragua,Unknown,Unknown,Unknown,Weather,Rain,No,Landing,25,0,25,None Survived,12.0562345,-84.9279213,
1957,Oct,Unknown,Douglas C-47A,Varig,"Porto Alegre, Brazil",Land,South America,Brazil,Unknown,Unknown,Unknown,Unknown,Unknown,No,Take,2,0,2,None Survived,-30.0324999,-51.2303767,
1956,Nov,Evening,Douglas DC-3,Empresa Aviacion del Pacifico,"El Rucio Mountain, Colombia",Land,South America,Colombia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,36,0,36,None Survived,4.099917,-72.9088133,Matched: Colombia
1956,Nov,Unknown,Ilyushin IL-12B,Ceskoslovenske Aerolinie," Eglisau, Switzerland",Land,Europe,Switzerland,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,23,0,23,None Survived,47.5733207,8.5239827,
1956,Nov,Night,Douglas DC-6B,Linee Aeree Italiane,"Paris, France",Land,Europe,France,Unknown,Unknown,Unknown,Unknown,Unknown,No,Take,35,8,34,Partial Survived,48.8588897,2.320041,
1956,Nov,Morning,Lockheed 749-79-34 Constellation,Linea Aeropostal Venezolana,"Caracas, Venezuela",Land,South America,Venezuela,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,25,0,25,None Survived,10.5060934,-66.9146008,
